range,interval,type,n_targets,speedDown,bullet_range
12,0.06,Poison,1,0.8,2
12,0.1,Lightning,1,0.75,2
12,0.1,Poison,1,0.8,2
12,0.1,Blunt,1,0.8,2
12,0.1,Poison,1,1.0,2
12,0.3,Ice,1,0.8,2
12,0.1,Ice,1,1.0,2
12,0.06,Blunt,1,0.75,2
12,0.06,Ice,1,0.8,2
12,0.3,Blunt,1,1.0,2
12,0.3,Poison,1,0.75,2
12,0.06,Ice,1,0.75,2
12,0.1,Ice,1,0.8,2
12,0.3,Poison,1,1.0,2
12,0.06,Blunt,1,1.0,2
12,0.1,Lightning,1,1.0,2
12,0.3,Blunt,1,0.75,2
12,0.06,Poison,1,1.0,2
12,0.3,Poison,1,0.8,2
12,0.3,Blunt,1,0.8,2
12,0.1,Lightning,1,0.8,2
12,0.06,Lightning,1,1.0,2
12,0.1,Poison,1,0.75,2
12,0.3,Lightning,1,1.0,2
12,0.3,Lightning,1,0.75,2
12,0.06,Lightning,1,0.8,2
12,0.1,Blunt,1,0.75,2
12,0.06,Poison,1,0.75,2
12,0.06,Ice,1,1.0,2
12,0.1,Blunt,1,1.0,2
12,0.1,Ice,1,0.75,2
12,0.06,Blunt,1,0.8,2
12,0.06,Lightning,1,0.75,2
12,0.3,Lightning,1,0.8,2
12,0.3,Ice,1,0.75,2
12,0.3,Ice,1,1.0,2
12,0.1,Lightning,1,0.75,2
12,0.1,Ice,1,1.0,2
12,0.3,Ice,1,0.8,2
12,0.3,Lightning,1,0.75,2
12,0.3,Lightning,1,0.8,2
12,0.06,Lightning,1,1.0,2
12,0.06,Poison,1,0.8,2
12,0.06,Blunt,1,0.75,2
12,0.1,Blunt,1,1.0,2
12,0.06,Ice,1,0.75,2
12,0.1,Blunt,1,0.75,2
12,0.3,Poison,1,0.8,2
12,0.1,Poison,1,0.75,2
12,0.06,Ice,1,0.8,2
12,0.1,Blunt,1,1.0,2
16,0.1,Blunt,1,1.0,2
16,0.1,Poison,-1,1.0,
